ID	GLOSS	OMEGAWIKI
111	AFTERNOON	7455
	AFTERWARDS
	ALANG-ALANG GRASS
	ALL
	ALWAYS
	ARM
	ARMPIT
81	ARROW A
81	ARROW B
81	ARROW C
81	ARROW D
	ASHES
	AXE IRON
	AXE STONE
	BACK
	BAD
	BAMBOO
	BANANA
	BASKET
	BATHE
	BE
	BEAN
	BEFORE
	BELLY
	BETELNUT
	BETEL PEPPER VINE
	BE AFRAID
	BE SICK
	BIG
	BIRD
	BITE
	BLACK
	BLOOD
	BLOW ON FIRE
	BOIL
	BONE
	BOW
	BOY
	BRAINS
	BREAK ACROSS
	BREAST WOMAN
	BURN
	BURY
	BUTTERFLY
	BUTTOCKS
	BUY
	CALF OF LEG
	CALL OUT
	CANE
	CARRY ON BACK
	CARRY ON SHOULDER
	CASSOWARY
	CHEST
	CHICKEN TAME
	CHICKEN WILD
	CHILD
	CHIN
	CHOP WITH AXE
	CLOUD
	COCONUT TREE
	COLD
	COMB
	COME
	COOKED
	COUGH
	CRAYFISH
	CROCODILE
	CROOKED
	CRY
	CUT WITH KNIFE
	DANCE
	DAY AFTER TOMORROW
	DAY BEFORE YESTERDAY
	DAY BREAK
	DIE
	DIG
	DIRTY
	DOG
	DREAM
	DRY
	EAR
	EAT
	EGG
	ELBOW
	EMPTY
	EXCREMENT
	EYE
	FACE FOREHEAD
	FALL OVER TREE
	FAR
	FASTEN
	FAT
	FATHER
	FELL A TREE
	FEMALE
	FENCE
	FEW
	FIGHT HIT
	FILL UP
	FINGERNAIL
	FIRE
	FISH
	FISH SPEAR
	FLY
	FLYING FOX
	FOG
	FROG
	FRUIT
	FULL
	G-STRING
	GARDEN
	GIRL
	GIVE
	GO
	GOOD
	GO DOWN
	GO UP
	GRASS SKIRT
	GREEN
	GREEN COCONUT
	GROUND
	HAIR
	HAND DRUM
	HE
	HEAD
	HEAR
	HEART
	HEAVY
	HERE
	HOLD
	HOT
	HOUSE
	HOW MANY
	HUNGRY
	I
	INSIDE THE HOUSE
	JUMP
	KILL
	KNEE
	KNIFE
	LAUGH
	LEFT ARM
	LEG
	LIGHT OF FIRE
	LIME
	LIVER
	LOINCLOTH
	LONG
	LOOK FOR
	LOUSE
	LUNG
	MAKE
	MALE
	MAN
	MANY
	MEAT
	MOON
	MORNING
	MOSQUITO
	MOTHER
	MOUNTAIN
	MOUTH
	NAME
	NAPE
	NAVEL
	NEAR
	NECK
	NETBAG
	NEW
	NIGHT
	NO
	NOSE
	NOW
	OLD OF HUMANS
	OLD OF OBJECTS
	ONE
	PANDANUS
	PATH
	PENIS
	PIECE OF WOOD
	PIG
	PLANT
	POSSUM GROUND
	POSSUM TREE
	POTATO
	POUR OUT
	PULL
	PUSH
	PUT
	QUICKLY
	RAIN
	RAT
	RED
	RIGHT ARM
	RIPE
	RIPE COCONUT
	ROAST
	ROOT OF TREE
	ROPE OF BOW
	RUN
	SAGO
	SALIVA
	SALT
	SAND
	SAP
	SAUCEPAN CLAY POT
	SCRATCH SKIN
	SEA
	SEE
	SHADOW
	SHARP
	SHARPEN A BOW
	SHOOT
	SHORE
	SHORT
	SHOULDER
	SHRUB TANGET
	SIBLING DIFFERENT SEX OLDER
	SIBLING DIFFERENT SEX YOUNGER
	SIBLING SAME SEX OLDER
	SIBLING SAME SEX YOUNGER
	SIGNAL DRUM
	SINGAPORE TARO
	SINGSING
	SIT DOWN
	SKIN
	SKY
	SLEEP
	SLOWLY
	SMALL
	SMELL
	SMOKE
	SNAKE
	SORE
	SPEAR
	SPLIT
	STAND
	STAND UP
	STAR
	STICK
	STOMACH GUTS
	STONE
	STRAIGHT
	STUMP OF TREE
	SUGAR CANE
	SUN
	SWALLOW
	SWEAT
	SWELL UP SKIN
	TAIL OF BIRD
	TAIL OF DOG
	TAKE
	TALK
	TALK TO
	TARO
	TEAR
	THAT
	THERE
	THEY
	THINK
	THIS
	THOU
	THROAT
	THROW STONE
	THUMB
	THUNDERING
	TIE
	TOBACCO
	TOMORROW
	TONGUE
	TOOTH
	TOP OF TREE
	TO FLY
	TREE
	TRUNK OF TREE
	TURN ONESELF
	TWO
	UPPER LEG
	URINE
	VEIN
	VILLAGE
	VINE
	VOMIT
	VULVA
	WALK
	WALLABY
	WASH
	WATCH
	WATER
	WE
	WET
	WHAT
	WHERE
	WHITE
	WHO
	WIND
	WING
	WOMAN
	WOODEN PLATE
	WOODS
	WORK
	YAM
	YAM (DISCOREA ESCULENTA)
	YE
	YELLOW
	YES
	YESTERDAY
