UK	UNIQUE_GLOSS	ENGLISH_GLOSS	LWT_KEY	LWT_GLOSS	PART_OF_SPEECH	SEMANTIC_FIELD	OMEGA_WIKI	EXAMPLE CONTEXT/EXPLANATION	ENGLISH_GLOSS	SPANISH_GLOSS	Alternative Omega Wiki Links	FRENCH_GLOSS	PORTUGUESE_GLOSS	GERMAN_TRANSLATION	RUSSIAN_GLOSS
868	THE ALMOND	almond	8.99901	the almond	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:amandel_(361201)		almond	almendra, almendro		-	-	-	-
869	THE AMOMUM	amomum	8.99902	the amomum	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:amomum_(1510881)		amomum	-		-	-	-	-
870	THE ANATTO	anatto	8.99903	the anatto	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:anatto_(1510885)		anatto	-		-	-	-	-
872	THE APPLE	apple	8.99905	the apple	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:apple_(5781)		apple	manzana		-	-	-	-
873	THE ASH TREE	ash tree	8.99906	the ash tree	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:ash_(474721)		ash tree	fresno		-	-	-	-
875	THE BROCCOLI	broccoli	8.99908	the broccoli	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:broccoli_(358603)		broccoli	brócoli, brécol		-	-	-	-
876	THE BROMELIA	bromelia	8.99909	the bromelia	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:bromelia_(1510889)		bromelia	-		-	-	-	-
878	THE CASHEW	cashew	8.99911	the cashew	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:cashew_nut_(1318006)		cashew	anarcado, acajú		-	-	-	-
880	THE CONIFEROUS TREE	coniferous tree	8.99914	the coniferous tree	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:coniferous_tree_(5063)		coniferous tree	conífera		-	-	-	-
881	THE COTTONTREE	cottontree	8.99915	the cottontree	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:cotton_plant_(1300711)		cottontree	algodón		-	-	-	-
882	THE CREEPER	creeper	8.99916	the creeper	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:creeper_(1510893)		creeper	enredadera		-	-	-	-
920	TO PICK	pick	8.99961	to pick	Verb	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:cull_(1165666)		to pick	recoger		-	-	-	-
884	THE DUNG	dung	8.99918	the dung	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:dung_(1275135)		dung	estiércol		-	-	-	-
919	TO GROW (TRANSITIVE)	grow	8.9996	to grow(2)	Verb	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:grow_(1539804)		to grow(2)	cultivar		-	-	-	-
885	THE GUAVA	guava	8.99921	the guava	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:guava_(1510897)		guava	guayaba		-	-	-	-
888	THE KOHLRABI	kohlrabi	8.99924	the kohlrabi	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:kålrabbi_(1043887)		kohlrabi	colinabo		-	-	-	-
889	THE LIANA	liana	8.99925	the liana	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:liana_(1510901)		liana	liana		-	-	-	-
890	THE LIMA BEANS	lima beans	8.99926	the lima beans	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:lima_bean_(1510905)		lima beans	-		-	-	-	-
891	THE LUPIN	lupin	8.99927	the lupin	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:lupin_(1510909)		lupin	lupino, altrmuz		-	-	-	-
893	THE MANGO	mango	8.9993	the mango	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:mango_(395778)		mango	mango		-	-	-	-
894	THE MANGROVE	mangrove	8.99931	the mangrove	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:mangrove_(1510912)		mangrove	mangle, manglar		-	-	-	-
895	THE MELON	melon	8.99932	the melon	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:meloen_(157304)		melon	melón, sandía		-	-	-	-
877	THE CARROT	carrot	8.9991	the carrot	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:Möhre_(424192)		carrot	zanahoria		-	-	-	-
